home,ratings,bedrooms,beds,baths,house_type,city,price
Home in Austin ,5.0,2 bedrooms,2.0,0.5,Home,Austin ,514
Rental unit in Austin ,,1 bedroom,1.0,1.0,Rental unit,Austin ,75
Rental unit in Austin ,5.0,1 bedroom,1.0,1.0,Rental unit,Austin ,29
Rental unit in Austin ,4.67,1 bedroom,1.0,1.0,Rental unit,Austin ,34
Rental unit in Austin ,,1 bedroom,1.0,1.0,Rental unit,Austin ,75
Home in Austin ,4.67,3 bedrooms,3.0,2.5,Home,Austin ,200
Home in Austin ,4.96,2 bedrooms,2.0,1.5,Home,Austin ,60
Home in Austin ,4.94,1 bedroom,1.0,1.5,Home,Austin ,311
Home in Austin ,4.71,3 bedrooms,5.0,2.5,Home,Austin ,325
Rental unit in Austin ,4.42,1 bedroom,1.0,1.0,Rental unit,Austin ,87
Home in Austin ,5.0,1 bedroom,1.0,1.0,Home,Austin ,100
Rental unit in Austin ,,1 bedroom,3.0,1.0,Rental unit,Austin ,55
Guest suite in Austin ,4.95,3 bedrooms,3.0,2.0,Guest suite,Austin ,250
