home,ratings,bedrooms,beds,baths,house_type,city
Home in Austin ,5.0,3.0,3.0,['3.5'],Home,Austin 
Home in Austin ,4.95,3.0,4.0,['2'],Home,Austin 
Condo in Austin ,4.97,1.0,3.0,['1'],Condo,Austin 
Home in Austin ,5.0,3.0,5.0,['1.5'],Home,Austin 
Home in Austin ,4.89,1.0,1.0,0.5,Home,Austin 
Home in Austin ,4.83,3.0,3.0,['2'],Home,Austin 
Guest suite in Austin ,5.0,1.0,2.0,['1'],Guest suite,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,4.75,1.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,4.94,2.0,2.0,['2'],Home,Austin 
Condo in Austin ,5.0,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,5.0,4.0,9.0,['3.5'],Home,Austin 
Home in Austin ,,3.0,3.0,['2'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.98,4.0,8.0,['2'],Home,Austin 
Home in Austin ,5.0,3.0,2.0,['2'],Home,Austin 
Home in Austin ,5.0,1.0,nan,0.5,Home,Austin 
Condo in Austin ,4.90,2.0,2.0,['1.5'],Condo,Austin 
Home in Austin ,,3.0,3.0,['2'],Home,Austin 
Home in Austin ,5.0,4.0,4.0,['3.5'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['2.5'],Home,Austin 
Home in Austin ,4.84,2.0,2.0,['1.5'],Home,Austin 
Home in Austin ,5.0,3.0,3.0,['2'],Home,Austin 
Home in Austin ,4.90,2.0,2.0,['1'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.98,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,4.96,3.0,5.0,['3'],Home,Austin 
Loft in Austin ,3.93,1.0,1.0,['1'],Loft,Austin 
Home in Austin ,4.87,4.0,7.0,['2.5'],Home,Austin 
Serviced apartment in Austin ,4.38,2.0,2.0,['2'],Serviced apartment,Austin 
Home in Austin ,4.76,4.0,5.0,['3'],Home,Austin 
Home in Austin ,4.92,1.0,1.0,0.5,Home,Austin 
Campsite in Austin ,4.92,1.0,1.0,['1'],Campsite,Austin 
Home in Austin ,4.85,2.0,2.0,['2.5'],Home,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Condo in Austin ,,2.0,3.0,['1.5'],Condo,Austin 
Home in Austin ,4.65,3.0,6.0,['2'],Home,Austin 
Rental unit in Austin ,4.71,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,2.0,2.0,['2'],Home,Austin 
Condo in Austin ,,2.0,2.0,['2'],Condo,Austin 
Home in Austin ,,2.0,5.0,0.5,Home,Austin 
Home in Austin ,4.97,3.0,3.0,['2'],Home,Austin 
Rental unit in Austin ,4.58,2.0,3.0,['2'],Rental unit,Austin 
Serviced apartment in Austin ,,1.0,1.0,['1'],Serviced apartment,Austin 
Guesthouse in Austin ,4.96,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.83,3.0,3.0,['1'],Home,Austin 
Home in Austin ,5.0,3.0,6.0,['2'],Home,Austin 
Home in Austin ,4.92,4.0,7.0,['3'],Home,Austin 
Home in Austin ,,3.0,2.0,['2.5'],Home,Austin 
Rental unit in Austin ,4.92,1.0,1.0,['1'],Rental unit,Austin 
Guesthouse in Austin ,4.91,1.0,1.0,['1'],Guesthouse,Austin 
Rental unit in Austin ,,1.0,nan,['1'],Rental unit,Austin 
Home in Austin ,4.81,3.0,4.0,['2'],Home,Austin 
Home in Austin ,5.0,3.0,4.0,['2'],Home,Austin 
Condo in Austin ,4.77,nan,2.0,['1'],Condo,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.84,3.0,2.0,['1'],Home,Austin 
Guesthouse in Austin ,4.87,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.74,7.0,1.0,['5'],Home,Austin 
Home in Austin ,4.93,5.0,5.0,['3'],Home,Austin 
Home in Austin ,4.98,5.0,8.0,['2'],Home,Austin 
Guest suite in Austin ,4.87,1.0,1.0,['1'],Guest suite,Austin 
Home in Austin ,5.0,2.0,3.0,['2'],Home,Austin 
Home in Austin ,,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['1'],Home,Austin 
Rental unit in Austin ,4.61,2.0,4.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.72,1.0,2.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.76,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.73,3.0,4.0,['2'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['2'],Home,Austin 
Guest suite in Austin ,4.50,2.0,3.0,['1'],Guest suite,Austin 
Rental unit in Austin ,4.07,2.0,3.0,['1'],Rental unit,Austin 
Campsite in Austin ,4.83,1.0,nan,['2'],Campsite,Austin 
Home in Austin ,4.73,3.0,3.0,['2'],Home,Austin 
Rental unit in Austin ,,1.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,4.85,7.0,1.0,['4'],Home,Austin 
Loft in Austin ,4.97,1.0,nan,['1'],Loft,Austin 
Townhouse in Austin ,4.98,2.0,3.0,['1.5'],Townhouse,Austin 
Guest suite in Austin ,5.0,1.0,2.0,['1'],Guest suite,Austin 
Home in Austin ,4.93,1.0,1.0,['1'],Home,Austin 
Condo in Austin ,4.92,2.0,3.0,['1.5'],Condo,Austin 
Rental unit in Austin ,4.33,2.0,2.0,['1.5'],Rental unit,Austin 
Campsite in Austin ,5.0,nan,1.0,['2'],Campsite,Austin 
Home in Austin ,5.0,4.0,4.0,['3'],Home,Austin 
Guesthouse in Austin ,4.74,1.0,2.0,['1'],Guesthouse,Austin 
Home in Austin ,4.90,3.0,3.0,['2'],Home,Austin 
Condo in Austin ,4.87,2.0,3.0,['1'],Condo,Austin 
Home in Austin ,4.91,2.0,2.0,['2.5'],Home,Austin 
Townhouse in Austin ,4.89,1.0,4.0,['1'],Townhouse,Austin 
Townhouse in Austin ,4.93,3.0,3.0,['2.5'],Townhouse,Austin 
Home in Austin ,4.98,3.0,5.0,['2'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Guesthouse in Austin ,4.81,2.0,2.0,['2'],Guesthouse,Austin 
Guesthouse in Austin ,5.0,nan,1.0,['1'],Guesthouse,Austin 
Camper/RV in Austin ,4.95,1.0,1.0,['1'],Camper/RV,Austin 
Condo in Austin ,,1.0,1.0,['1.5'],Condo,Austin 
Home in Austin ,5.0,3.0,3.0,['2'],Home,Austin 
Home in Austin ,4.89,1.0,1.0,['1'],Home,Austin 
Campsite in Austin ,5.0,nan,1.0,['2'],Campsite,Austin 
Home in Austin ,,4.0,4.0,['3'],Home,Austin 
Bungalow in Austin ,4.50,2.0,2.0,['1'],Bungalow,Austin 
Home in Austin ,4.83,1.0,1.0,['1'],Home,Austin 
Condo in Austin ,,2.0,2.0,['2'],Condo,Austin 
Home in Austin ,5.0,4.0,1.0,['3'],Home,Austin 
Condo in Austin ,4.92,3.0,4.0,['3'],Condo,Austin 
Home in Austin ,5.0,3.0,3.0,['2'],Home,Austin 
Home in Austin ,4.67,3.0,3.0,['1'],Home,Austin 
Bungalow in Austin ,5.0,1.0,1.0,['1'],Bungalow,Austin 
Home in Austin ,4.87,2.0,6.0,['2'],Home,Austin 
Guesthouse in Austin ,4.98,1.0,2.0,['1'],Guesthouse,Austin 
Home in Austin ,4.89,1.0,1.0,['1'],Home,Austin 
Home in Austin ,4.98,3.0,3.0,['2.5'],Home,Austin 
Tiny home in Austin ,5.0,nan,4.0,['1'],Tiny home,Austin 
Condo in Austin ,4.64,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,4.90,3.0,4.0,['2'],Home,Austin 
Home in Austin ,5.0,3.0,3.0,['2'],Home,Austin 
Home in Austin ,4.92,1.0,1.0,['1'],Home,Austin 
Rental unit in Austin ,4.20,2.0,3.0,['1'],Rental unit,Austin 
Home in Austin ,4.90,4.0,8.0,['2'],Home,Austin 
Home in Austin ,4.93,3.0,4.0,['2'],Home,Austin 
Home in Austin ,4.98,3.0,6.0,['2'],Home,Austin 
Guesthouse in Austin ,4.92,nan,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.96,2.0,2.0,['1.5'],Home,Austin 
Condo in Austin ,,2.0,2.0,['2'],Condo,Austin 
Condo in Austin ,4.92,1.0,1.0,['1'],Condo,Austin 
Guesthouse in Austin ,5.0,1.0,2.0,['1'],Guesthouse,Austin 
Guest suite in Austin ,4.98,1.0,2.0,['1'],Guest suite,Austin 
Condo in Austin ,4.33,1.0,2.0,['1'],Condo,Austin 
Rental unit in Bee Cave ,,2.0,2.0,['2'],Rental unit,Bee Cave 
Cabin in Austin ,,1.0,1.0,['1'],Cabin,Austin 
Cottage in Austin ,,3.0,3.0,['2'],Cottage,Austin 
Home in Austin ,5.0,4.0,3.0,['3.5'],Home,Austin 
Rental unit in Austin ,,1.0,nan,['1'],Rental unit,Austin 
Home in Austin ,4.96,1.0,1.0,0.5,Home,Austin 
Home in Austin ,4.94,2.0,2.0,['1'],Home,Austin 
Condo in Austin ,,3.0,3.0,['3'],Condo,Austin 
Guesthouse in Austin ,5.0,1.0,2.0,['1'],Guesthouse,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.61,2.0,3.0,['1'],Home,Austin 
Loft in Austin ,4.90,nan,1.0,['1'],Loft,Austin 
Rental unit in Austin ,4.88,nan,1.0,['1'],Rental unit,Austin 
Condo in Austin ,4.75,1.0,2.0,['1'],Condo,Austin 
Home in Austin ,4.98,1.0,1.0,0.5,Home,Austin 
Guesthouse in Austin ,5.0,nan,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.75,1.0,1.0,0.5,Home,Austin 
Condo in Austin ,4.84,2.0,5.0,['1.5'],Condo,Austin 
Home in Austin ,4.97,2.0,2.0,['2.5'],Home,Austin 
Condo in Austin ,4.83,1.0,2.0,['1'],Condo,Austin 
Camper/RV in Austin ,4.91,1.0,3.0,['1'],Camper/RV,Austin 
Home in Austin ,4.73,6.0,1.0,['5'],Home,Austin 
Rental unit in Austin ,4.85,1.0,2.0,['1.5'],Rental unit,Austin 
Guest suite in Austin ,4.78,1.0,1.0,0.5,Guest suite,Austin 
Home in Austin ,5.0,2.0,2.0,['1'],Home,Austin 
Cabin in Austin ,,8.0,1.0,['7'],Cabin,Austin 
Home in Austin ,4.52,5.0,9.0,['4'],Home,Austin 
Home in Austin ,4.96,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,4.20,1.0,1.0,['1'],Rental unit,Austin 
Townhouse in Austin ,4.75,2.0,2.0,['2.5'],Townhouse,Austin 
Home in Austin ,4.60,2.0,2.0,['1'],Home,Austin 
Resort in Austin ,4.82,1.0,2.0,['1'],Resort,Austin 
Home in Austin ,4.91,1.0,1.0,['1.5'],Home,Austin 
Home in Austin ,4.88,2.0,3.0,['1'],Home,Austin 
Rental unit in Austin ,,2.0,2.0,['2'],Rental unit,Austin 
Home in Austin ,4.88,3.0,3.0,['2'],Home,Austin 
Home in Austin ,,4.0,3.0,['4'],Home,Austin 
Home in Austin ,4.55,1.0,1.0,['1'],Home,Austin 
Home in Austin ,4.74,3.0,1.0,['2.5'],Home,Austin 
Guesthouse in Austin ,4.95,1.0,1.0,['1'],Guesthouse,Austin 
Guesthouse in Austin ,5.0,nan,3.0,['1'],Guesthouse,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,2.0,3.0,['2.5'],Home,Austin 
Campsite in Austin ,4.67,nan,nan,['2'],Campsite,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Condo in Austin ,4.80,1.0,1.0,['1'],Condo,Austin 
Condo in Austin ,4.92,1.0,1.0,['1'],Condo,Austin 
Condo in Austin ,,2.0,2.0,['1'],Condo,Austin 
Townhouse in Austin ,,3.0,3.0,['2.5'],Townhouse,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,,2.0,2.0,['2'],Rental unit,Austin 
Home in Austin ,4.78,5.0,3.0,['3.5'],Home,Austin 
Rental unit in Austin ,4.89,1.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,4.75,3.0,3.0,['1.5'],Home,Austin 
Home in Austin ,4.84,3.0,9.0,['2'],Home,Austin 
Rental unit in Austin ,4.97,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,,1.0,1.0,['1.5'],Home,Austin 
Rental unit in Austin ,4.93,1.0,2.0,['1'],Rental unit,Austin 
Condo in Austin ,4.63,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,4.91,1.0,1.0,0.5,Home,Austin 
Condo in Austin ,4.88,2.0,2.0,['2'],Condo,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,2.0,2.0,['1.5'],Home,Austin 
Guesthouse in Austin ,4.93,1.0,1.0,['1'],Guesthouse,Austin 
Home in Austin ,4.93,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,4.40,3.0,3.0,['2'],Home,Austin 
Condo in Austin ,,2.0,3.0,['2'],Condo,Austin 
Home in Austin ,4.98,4.0,4.0,['2'],Home,Austin 
Home in Austin ,5.0,3.0,3.0,['1.5'],Home,Austin 
Home in Austin ,4.74,2.0,3.0,['2'],Home,Austin 
Home in Austin ,4.64,3.0,6.0,['2'],Home,Austin 
Home in Austin ,5.0,3.0,3.0,['2'],Home,Austin 
Home in Austin ,,1.0,1.0,0.5,Home,Austin 
Home in Austin ,4.74,3.0,1.0,['2.5'],Home,Austin 
Home in Austin ,4.92,2.0,3.0,['2.5'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.83,4.0,nan,['4.5'],Home,Austin 
Home in Austin ,3.67,4.0,5.0,['3.5'],Home,Austin 
Home in Austin ,5.0,2.0,3.0,['2.5'],Home,Austin 
Cabin in Austin ,4.96,2.0,2.0,['1'],Cabin,Austin 
Home in Austin ,,3.0,4.0,['2'],Home,Austin 
Campsite in Austin ,4.75,nan,nan,['2'],Campsite,Austin 
Condo in The Hills ,,1.0,1.0,['1'],Condo,The Hills 
Campsite in Austin ,4.75,1.0,nan,['2'],Campsite,Austin 
Bungalow in Austin ,,2.0,2.0,['2'],Bungalow,Austin 
Home in West Lake Hills ,4.67,4.0,5.0,['3'],Home,West Lake Hills 
Rental unit in Austin ,4.78,1.0,2.0,['1'],Rental unit,Austin 
Home in Austin ,4.90,1.0,1.0,['1'],Home,Austin 
Condo in Austin ,4.24,2.0,5.0,['2'],Condo,Austin 
Home in Austin ,4.52,3.0,3.0,['2'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,4.0,4.0,['4.5'],Home,Austin 
Home in Austin ,4.94,2.0,2.0,['1.5'],Home,Austin 
Home in Austin ,,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Home in Austin ,5.0,6.0,8.0,['5'],Home,Austin 
Home in Austin ,5.0,1.0,2.0,['1'],Home,Austin 
Rental unit in Austin ,5.0,1.0,1.0,['1'],Rental unit,Austin 
Cabin in Austin ,5.0,1.0,2.0,['1'],Cabin,Austin 
Home in Austin ,5.0,3.0,2.0,['2'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['3'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['1'],Home,Austin 
Home in Austin ,4.86,2.0,3.0,['2.5'],Home,Austin 
Rental unit in Austin ,,2.0,2.0,['1'],Rental unit,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,4.83,1.0,1.0,['1'],Home,Austin 
Townhouse in Austin ,4.90,2.0,2.0,['2'],Townhouse,Austin 
Townhouse in Austin ,4.90,3.0,3.0,['3.5'],Townhouse,Austin 
Home in Austin ,4.93,3.0,3.0,['2'],Home,Austin 
Home in Austin ,4.78,5.0,5.0,['3'],Home,Austin 
Home in Austin ,4.89,3.0,2.0,['2'],Home,Austin 
Home in Austin ,,2.0,2.0,['2'],Home,Austin 
Home in Austin ,5.0,3.0,3.0,['2.5'],Home,Austin 
Bungalow in Austin ,4.74,3.0,3.0,['2'],Bungalow,Austin 
Home in Austin ,4.83,4.0,5.0,['3'],Home,Austin 
Rental unit in Austin ,4.94,1.0,1.0,['1.5'],Rental unit,Austin 
Home in Austin ,4.78,5.0,6.0,['2'],Home,Austin 
Rental unit in Austin ,4.84,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.87,2.0,2.0,['2'],Rental unit,Austin 
Rental unit in Austin ,4.81,1.0,1.0,['1'],Rental unit,Austin 
Rental unit in Austin ,4.57,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,1.0,2.0,0.5,Home,Austin 
Home in Austin ,4.67,3.0,3.0,['1'],Home,Austin 
Home in Austin ,4.94,4.0,7.0,['3'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['2'],Home,Austin 
Home in Austin ,4.99,2.0,3.0,['2'],Home,Austin 
Townhouse in Austin ,5.0,2.0,2.0,['1.5'],Townhouse,Austin 
Home in Austin ,,3.0,4.0,['2.5'],Home,Austin 
Home in Austin ,4.98,4.0,1.0,['3.5'],Home,Austin 
Home in Austin ,4.82,1.0,1.0,0.5,Home,Austin 
Home in Austin ,4.91,6.0,1.0,['2.5'],Home,Austin 
Home in Austin ,4.54,4.0,7.0,['2'],Home,Austin 
Cabin in Austin ,4.97,1.0,2.0,['1'],Cabin,Austin 
Home in Austin ,,5.0,5.0,['4.5'],Home,Austin 
Home in Austin ,4.84,3.0,3.0,['1.5'],Home,Austin 
Home in Austin ,4.88,2.0,2.0,['1'],Home,Austin 
Camper/RV in Austin ,,nan,1.0,['1'],Camper/RV,Austin 
Home in Austin ,,3.0,2.0,['2.5'],Home,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,1.0,1.0,0.5,Home,Austin 
Rental unit in Austin ,4.25,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,2.0,2.0,['1'],Home,Austin 
Home in Austin ,5.0,3.0,3.0,['2.5'],Home,Austin 
Condo in Austin ,4.46,2.0,2.0,['1.5'],Condo,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Home in Austin ,,3.0,4.0,['2.5'],Home,Austin 
Home in Austin ,,1.0,1.0,['1'],Home,Austin 
Condo in Austin ,4.89,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,5.0,2.0,2.0,['2'],Home,Austin 
Guest suite in Austin ,4.94,1.0,1.0,['1'],Guest suite,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,5.0,3.0,4.0,['2'],Home,Austin 
Home in Austin ,5.0,2.0,2.0,['2'],Home,Austin 
Bungalow in Austin ,5.0,3.0,3.0,['2'],Bungalow,Austin 
Tiny home in Austin ,4.81,1.0,1.0,['1'],Tiny home,Austin 
Condo in Austin ,4.84,2.0,3.0,['2'],Condo,Austin 
Rental unit in Austin ,4.84,2.0,2.0,['2'],Rental unit,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Tent in Austin ,,1.0,1.0,[],Tent,Austin 
Home in Austin ,5.0,3.0,5.0,['2'],Home,Austin 
Condo in Austin ,New,1.0,1.0,['1'],Condo,Austin 
Home in Austin ,5.0,7.0,1.0,['5'],Home,Austin 
Home in Austin ,5.0,4.0,4.0,['2.5'],Home,Austin 
Condo in Austin ,,1.0,2.0,0.5,Condo,Austin 
Rental unit in Austin ,,1.0,1.0,['1'],Rental unit,Austin 
Home in Austin ,,3.0,3.0,['2'],Home,Austin 
Condo in Austin ,,2.0,2.0,['2'],Condo,Austin 
Vacation home in Lakeway ,5.0,4.0,4.0,['3'],Vacation home,Lakeway 
Home in Austin ,4.81,4.0,7.0,['2'],Home,Austin 
Home in Austin ,4.89,2.0,2.0,['1.5'],Home,Austin 
Home in Austin ,4.99,1.0,1.0,['1'],Home,Austin 
Condo in Austin ,,1.0,4.0,['1'],Condo,Austin 
Guest suite in Austin ,5.0,3.0,4.0,['2'],Guest suite,Austin 
Home in Austin ,5.0,3.0,3.0,['2.5'],Home,Austin 
Home in Austin ,4.80,4.0,5.0,['2'],Home,Austin 
Home in Austin ,4.96,2.0,2.0,['1'],Home,Austin 
Home in Austin ,5.0,3.0,4.0,['2'],Home,Austin 
Condo in Austin ,4.81,1.0,2.0,0.5,Condo,Austin 
Rental unit in Austin ,4.59,nan,1.0,['1'],Rental unit,Austin 
Home in Austin ,,5.0,1.0,['5'],Home,Austin 
Home in Lakeway ,5.0,2.0,3.0,['2'],Home,Lakeway 
Home in Austin ,,4.0,5.0,['2'],Home,Austin 
Home in Austin ,4.83,2.0,2.0,['2.5'],Home,Austin 
Yurt in Austin ,4.84,1.0,1.0,['1'],Yurt,Austin 
Home in Austin ,4.76,2.0,5.0,['2'],Home,Austin 
